HCHO,t_C,C6H5OH,HCl,NH3
0.0023,-0.9,0,0.04,0.01
0.0046,-1.3,0.001,0.11,0.01
0.0043,-1.4,0.001,0.11,0.01
0.003,-2.2,0.002,0.11,0.01
0.0038,-3,0.001,0.1,0.01
0.0068,-1.1,0.001,0.09,0.01
0.0022,-10.9,0,0.03,0.01
0.0051,-8.8,0.001,0.09,0.01
0.0078,2.7,0.001,0.1,0.01
0.0031,4,0.001,0.04,0.01
0.0063,5.2,0.002,0.11,0.01
0.0024,5.8,0.001,0.04,0
0.0071,5.7,0.002,0.1,0
0.0031,-0.1,0,0.03,0.01
0.0053,-5.4,0.001,0.11,0.01
0.0015,-9.1,0.001,0.03,0.01
0.0037,-3.4,0.002,0.1,0.01
0.003,-7.6,0,0.04,0.01
0.0068,-2.5,0.002,0.1,0.01
0.0038,-4.3,0.001,0.04,0.01
0.0052,-6,0.001,0.1,0.01
0.0022,-10.4,0,0.04,0.01
0.0044,-8.4,0.002,0.1,0.01
0.0053,-1.1,0.001,0.09,0.01
0.003,-3.3,0.001,0.04,0.01
0.0068,-1.2,0.002,0.08,0.01
0.0067,-1,0.002,0.1,0.01
0.0038,-1,0.002,0.09,0.01
0.003,-3.2,0.001,0.04,0.01
0.0067,-2.9,0.001,0.1,0.01
0.0022,-4,0,0.05,0.01
0.009,-1.1,0.002,0.11,0.01
0.0038,0.5,0.001,0.04,0.01
0.009,0.4,0.001,0.11,0.01
0.003,0.6,0.001,0.04,0.01
0.0077,0.5,0.002,0.11,0.01
0.0016,3.2,0.001,0.05,0.01
0.0039,0.6,0,0.04,0.01
0.0053,0.4,0.002,0.1,0.01
0.0075,-1,0.002,0.1,0.01
0.003,-2.8,0.001,0.04,0.01
0.0089,-3.2,0.001,0.11,0.01
0.0069,-0.1,0.002,0.11,0.01
0.0045,-1.6,0.001,0.1,0.01
0.0023,-0.6,0.002,0.04,0
0.0051,2.9,0.003,0.09,0
0.0023,3,0,0.04,0.01
0.006,4.3,0.001,0.09,0.01
0.0054,2.4,0.002,0.11,0.01
0.0023,-0.8,0.001,0.05,0.01
0.0047,4.2,0.002,0.11,0.01
0.0023,5.6,0.001,0.04,0.01
