DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2025-01-09 00:00:07,1.4,2.4,247,5,0.33,1.09,71.0,53.7,F
2025-01-09 00:10:08,0.8,1.1,196,3,0.33,1.08,70.6,53.7,F
2025-01-09 00:20:07,0.8,1.3,185,3,0.35,1.12,70.7,54.8,F
2025-01-09 00:30:07,1.1,1.8,264,4,0.36,1.16,70.8,53.7,F
2025-01-09 00:40:07,0.7,1.1,172,2,0.36,1.16,70.7,53.7,F
2025-01-09 00:50:07,0.8,1.3,210,3,0.36,1.15,70.6,52.6,F
2025-01-09 01:00:07,0.8,1.4,185,3,0.36,1.16,70.9,52.6,F
2025-01-09 01:10:07,0.6,1.0,162,2,0.38,1.21,70.7,55.0,F
2025-01-09 01:20:07,0.6,0.6,163,2,0.38,1.21,70.6,54.9,F
2025-01-09 01:30:07,0.7,1.1,183,2,0.38,1.21,70.6,54.9,F
2025-01-09 01:40:07,0.6,0.8,137,2,0.38,1.20,70.7,52.6,F
2025-01-09 01:50:07,1.0,1.7,165,4,0.38,1.20,70.4,53.7,F
2025-01-09 02:00:07,0.6,1.0,152,2,0.39,1.22,70.7,55.0,F
2025-01-09 02:10:07,0.6,1.1,148,2,0.38,1.22,70.5,53.7,F
2025-01-09 02:20:07,1.0,1.6,211,3,0.38,1.22,70.3,53.8,F
2025-01-09 02:30:08,0.9,1.4,231,3,0.38,1.21,70.4,53.7,F
2025-01-09 02:40:08,1.0,1.6,251,4,0.38,1.21,70.3,53.7,F
2025-01-09 02:50:08,1.1,2.1,166,4,0.39,1.24,70.3,53.7,F
2025-01-09 03:00:08,1.1,1.7,262,4,0.39,1.24,70.4,53.7,F
2025-01-09 03:10:08,1.1,2.1,262,4,0.39,1.24,70.3,53.7,F
2025-01-09 03:20:08,1.3,2.2,216,5,0.39,1.22,70.2,53.8,F
2025-01-09 03:30:08,1.1,1.9,199,4,0.39,1.22,70.2,53.8,F
2025-01-09 03:40:08,1.3,2.2,228,5,0.40,1.25,70.3,53.7,F
2025-01-09 03:50:08,1.3,2.4,231,5,0.39,1.24,70.2,53.7,F
2025-01-09 04:00:08,1.6,2.7,271,6,0.39,1.24,70.4,53.7,F
2025-01-09 04:10:08,1.8,3.3,354,7,0.39,1.23,70.3,53.7,F
2025-01-09 04:20:08,1.5,2.4,267,6,0.39,1.23,70.2,53.8,F
2025-01-09 04:30:08,1.5,2.5,257,6,0.40,1.26,70.1,53.7,F
2025-01-09 04:40:08,1.4,2.3,236,5,0.40,1.25,70.2,53.7,F
2025-01-09 04:50:08,1.6,2.8,307,6,0.40,1.25,70.1,53.7,F
2025-01-09 05:00:08,1.8,3.2,346,7,0.39,1.24,70.3,53.7,F
2025-01-09 05:10:08,1.3,2.0,209,5,0.39,1.24,70.2,53.8,F
2025-01-09 05:20:09,1.7,3.0,323,7,0.41,1.27,70.1,53.7,F
2025-01-09 05:30:09,1.6,2.5,292,6,0.40,1.27,70.0,53.7,F
2025-01-09 05:40:09,1.6,2.9,288,6,0.40,1.25,70.1,52.6,F
2025-01-09 05:50:09,1.6,2.8,281,6,0.40,1.25,70.0,52.7,F
