DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
12/13/24 8:52,5.4,9.3,817,22,0.04,0.18,72,53.8,F
12/13/24 9:02,21.3,36.2,3240,70,0.05,0.22,70.9,57,F
12/13/24 9:12,11,18.8,1846,45,0.05,0.21,70,56.5,F
12/13/24 9:22,11.8,20.5,1772,48,0.05,0.21,69.9,55.6,F
12/13/24 9:32,11.2,19.4,1720,46,0.05,0.21,69.9,55.8,F
12/13/24 9:42,9.3,16.9,1454,38,0.05,0.21,69.9,56,F
12/13/24 9:52,9.3,17.1,1519,38,0.05,0.22,69.9,56,F
12/13/24 10:02,8.9,15.8,1353,36,0.05,0.22,69.9,56,F
12/13/24 10:12,7.2,11.8,1115,29,0.05,0.23,69.8,56,F
12/13/24 11:44,5,9.3,792,20,0.06,0.29,67.7,59.5,F
12/13/24 11:54,5.4,9.2,904,22,0.06,0.3,69.1,57.2,F
12/13/24 12:04,7.4,11.6,1051,30,0.06,0.3,69.8,56,F
12/13/24 12:14,6.2,10.9,1015,25,0.06,0.3,70.5,56,F
12/13/24 12:24,5.7,9.9,900,23,0.06,0.31,71,54.8,F
12/13/24 12:34,6.5,11.1,971,26,0.07,0.32,71.2,54.8,F
12/13/24 12:44,6.2,10.8,1032,25,0.07,0.32,71.3,54.9,F
12/13/24 12:55,6.6,10.7,974,27,0.07,0.34,71.3,53.7,F
12/13/24 13:05,5.1,9.2,855,21,0.07,0.35,71.2,53.8,F
12/13/24 13:15,6.2,11.9,1036,25,0.07,0.34,71.4,53.7,F
12/13/24 13:25,4.1,7.6,692,16,0.07,0.34,71.6,54.8,F
12/13/24 13:35,4.5,7.2,680,18,0.07,0.34,71.9,54.9,F
12/13/24 13:45,4.4,7.3,680,18,0.07,0.35,71.9,53.7,F
12/13/24 13:55,4.1,7.1,706,16,0.07,0.34,72,54.8,F
12/13/24 14:05,28.4,50.6,4324,85,0.07,0.36,72.1,56.1,F
12/13/24 14:15,16.9,30.9,2596,60,0.07,0.36,72.7,57.1,F
12/13/24 14:25,15.3,27.2,2331,57,0.07,0.36,72.3,58.2,F
12/13/24 14:35,10,16.7,1543,41,0.07,0.36,71.1,56,F
12/13/24 14:45,10,17.9,1524,41,0.07,0.36,71.7,54.8,F
12/13/24 14:55,9.1,15.3,1413,37,0.07,0.37,72.1,54.8,F
12/13/24 15:05,8.2,14,1310,33,0.07,0.36,72.7,54.8,F
12/13/24 15:15,9.3,16.7,1461,38,0.07,0.36,73,54.9,F
12/13/24 15:25,7.5,13.6,1220,31,0.08,0.38,73.1,54.8,F
12/13/24 15:35,5.9,10.1,942,24,0.07,0.37,73.4,54.8,F
12/13/24 15:45,7,12.3,1079,29,0.07,0.36,73.4,53.7,F
12/13/24 15:55,5.2,9.6,860,21,0.07,0.32,72.3,50.2,F
12/13/24 16:05,5.4,9.1,812,22,0.07,0.34,72.4,51.4,F
12/13/24 16:15,4.7,8.4,768,19,0.07,0.34,72.8,51.5,F
12/13/24 16:25,3,4.9,521,12,0.1,0.51,71.4,50.4,F
12/13/24 16:35,4.4,7.4,669,18,0.06,0.31,71,52.7,F
12/13/24 16:45,4.8,8.1,758,19,0.08,0.39,70,52.7,F
12/13/24 16:55,3.2,5.6,553,13,0.1,0.5,70.1,52.6,F
12/13/24 17:05,2.3,4.1,372,9,0.1,0.5,70.3,52.6,F
12/13/24 17:15,2.3,4,372,9,0.1,0.5,70.5,51.4,F
12/13/24 17:25,2.2,3.6,329,9,0.09,0.49,70.3,51.4,F
12/13/24 17:35,2.7,4.4,436,10,0.1,0.5,70.5,51.4,F
12/13/24 17:45,2.6,5,448,10,0.09,0.46,70.6,51.4,F
12/13/24 17:55,2.5,4.7,379,10,0.09,0.49,70.7,51.5,F
